task_id,semantic_entropy,pass_at_1,prompt_len,SLT,TBG
HumanEval/17,1.1701935320522252,0,222,"[-0.26171875  1.3125     -0.55078125 ...  1.484375   -2.125
 -0.80859375]","[-0.515625    1.34375     0.19433594 ... -1.0703125   1.7109375
  0.421875  ]"
HumanEval/18,0.8260171629109774,1,143,"[-0.3125      1.140625   -0.46484375 ...  1.2109375  -1.0546875
 -0.83203125]","[-0.48242188  1.28125    -0.02172852 ... -0.32617188  0.77734375
  0.62890625]"
HumanEval/19,0.887164071791471,0,160,"[-0.31835938  1.0546875  -0.3515625  ...  1.171875   -1.5625
 -0.78515625]","[-0.43554688  1.296875    0.171875   ... -0.90234375  0.03125
  0.40234375]"
HumanEval/20,0.9927501056597031,1,221,"[-0.36328125  1.265625   -0.734375   ...  1.390625   -1.625
 -0.90625   ]","[-0.55078125  1.1015625   0.16894531 ... -1.859375    1.28125
  0.6640625 ]"
HumanEval/21,0.18826175451950766,1,178,"[-0.18164062  1.140625   -0.31640625 ...  1.53125    -1.8671875
 -0.48242188]","[-0.51953125  1.1875      0.31445312 ... -1.4140625   1.53125
  0.24121094]"
HumanEval/22,-0.0,1,146,"[-0.43164062  0.921875   -0.4140625  ...  1.5        -1.6796875
 -1.09375   ]","[-0.19726562  1.2109375   0.25       ... -0.546875    0.38867188
  0.94140625]"
HumanEval/23,-0.0,1,98,[-0.3515625  1.2265625 -0.40625   ...  2.328125  -1.1796875 -1.4609375],"[-0.390625    1.28125     0.0456543  ... -0.20214844  1.0859375
  0.93359375]"
HumanEval/24,-0.0,0,107,[-0.328125   0.9765625 -0.328125  ...  1.359375  -1.8046875 -1.2734375],"[-0.28125     1.234375    0.01464844 ... -0.2734375  -0.3046875
  0.10253906]"
HumanEval/25,0.4943963580899642,1,181,"[-0.25976562  1.0703125  -0.578125   ...  1.25       -1.6796875
 -0.7265625 ]","[-0.32226562  1.1796875   0.08203125 ... -1.390625    1.8515625
  0.3984375 ]"
HumanEval/26,-0.0,0,139,"[-0.3046875   0.98828125 -0.35546875 ...  1.5625     -1.5390625
 -0.56640625]","[-0.5703125   1.1875      0.22949219 ... -0.421875    1.1875
  0.29296875]"
HumanEval/27,-0.0,1,103,"[-0.32226562  1.03125    -0.4375     ...  2.171875   -1.5625
 -1.5390625 ]","[-0.46484375  1.46875     0.24121094 ...  0.11962891  0.17871094
  0.49023438]"
HumanEval/28,-0.0,1,112,"[-0.27929688  1.03125    -0.45703125 ...  1.6953125  -1.46875
 -1.3359375 ]","[-0.3203125   1.28125     0.34570312 ... -0.890625    0.87890625
  0.22070312]"
HumanEval/29,-0.0,1,142,[-0.359375  0.953125 -0.359375 ...  1.34375  -1.890625 -1.25    ],"[-0.35546875  1.234375    0.25390625 ... -0.17578125  0.59765625
  1.0703125 ]"
HumanEval/30,-0.0,1,168,"[-0.38867188  0.9921875  -0.17382812 ...  2.015625   -1.8125
 -1.5078125 ]","[-0.21582031  1.53125     0.04492188 ...  0.12255859 -0.00524902
  0.97265625]"
HumanEval/31,-0.0,1,154,"[-0.38867188  1.203125   -0.39453125 ...  1.2890625  -1.0078125
 -0.86328125]","[-0.16601562  1.234375   -0.02502441 ... -0.6953125   0.22558594
  1.09375   ]"
HumanEval/32,1.5637239397459695,0,314,"[-0.68359375 -0.765625    1.0703125  ...  0.5859375   1.625
 -0.4140625 ]","[-0.37890625  0.90234375  0.23046875 ... -1.9296875   1.1015625
 -0.03295898]"
HumanEval/33,1.1958505436779439,0,205,"[-0.44726562  1.0234375  -0.21972656 ...  1.6171875  -1.3828125
 -1.2109375 ]","[-0.45898438  1.3203125   0.13476562 ... -0.57421875  0.45117188
  0.33984375]"
HumanEval/34,-0.0,1,128,"[-0.49023438  1.078125   -0.2578125  ...  1.75       -1.390625
 -1.375     ]","[-0.35742188  1.390625    0.07617188 ... -0.41015625  0.33789062
  0.36132812]"
HumanEval/35,-0.0,1,137,"[-0.41015625  1.0078125  -0.30664062 ...  2.078125   -1.421875
 -1.5234375 ]","[-0.41796875  1.375       0.09228516 ... -0.3828125  -0.44726562
  0.24121094]"
HumanEval/36,0.38850295455864003,0,134,"[-0.25        1.09375    -0.23632812 ...  1.4921875  -1.484375
 -1.1875    ]","[-0.28515625  1.0625      0.13085938 ... -0.4453125   0.92578125
  0.52734375]"
HumanEval/37,0.6897323808480278,0,178,"[-0.38476562  0.98828125 -0.21679688 ...  1.703125   -1.328125
 -1.09375   ]","[-0.41796875  1.375       0.05883789 ... -0.5703125   0.5078125
  0.65625   ]"
HumanEval/38,0.8585464929878813,0,213,"[ 0.14355469  0.17578125 -0.3359375  ...  0.0703125  -1.1328125
 -1.25      ]","[-0.578125    1.2421875   0.20117188 ... -1.5         1.21875
  1.1953125 ]"
HumanEval/39,0.6873167304702907,0,152,"[-0.4140625   1.03125    -0.35742188 ...  1.03125    -1.7578125
 -1.4453125 ]","[-0.08886719  0.9453125   0.0546875  ... -0.67578125  0.01782227
  0.53125   ]"
HumanEval/40,0.42894297400262127,0,214,"[-0.39453125  1.2734375  -0.55078125 ...  1.390625   -1.6328125
 -1.1171875 ]","[-0.35742188  0.9609375  -0.01293945 ... -0.890625    0.11914062
  0.44335938]"
HumanEval/41,-0.0,0,206,"[-0.5         1.203125   -0.40039062 ...  1.515625   -1.3671875
 -1.625     ]","[-0.41796875  0.9453125   0.06445312 ... -0.08544922  0.4140625
  0.90625   ]"
HumanEval/42,-0.0,1,163,"[-0.46484375  1.0546875  -0.20996094 ...  1.90625    -1.7734375
 -1.4140625 ]","[-0.26757812  1.5625      0.10742188 ... -0.06494141 -0.20507812
  0.625     ]"
HumanEval/43,-0.0,1,212,"[-0.45117188  1.25       -0.53125    ...  1.40625    -1.7890625
 -1.0546875 ]","[-0.3984375   0.94921875  0.02563477 ... -0.54296875  0.02770996
  0.54296875]"
HumanEval/44,0.18826631373787578,1,146,"[-0.4765625   1.1015625  -0.2421875  ...  1.3046875  -1.6015625
 -0.09863281]","[-0.28710938  1.140625    0.01416016 ... -0.80859375  1.
  0.40039062]"
HumanEval/45,0.1782764778106897,1,101,"[-0.40429688  1.0703125  -0.3203125  ...  1.8515625  -1.1953125
 -1.203125  ]","[-0.3125      1.328125    0.25976562 ... -0.953125    0.07373047
  1.5546875 ]"
HumanEval/46,0.7907979724201701,1,226,[-0.375      1.203125  -0.4453125 ...  1.203125  -1.1953125 -0.875    ],"[-0.39648438  1.03125    -0.03979492 ... -0.95703125  1.0078125
  0.23339844]"
HumanEval/47,-0.0,1,130,"[-0.52734375  1.1796875  -0.18164062 ...  1.34375    -1.28125
 -0.80078125]","[-0.05078125  1.2578125   0.08496094 ... -0.7734375   1.640625
 -0.546875  ]"
HumanEval/48,-0.0,1,126,[-0.4453125  1.        -0.21875   ...  1.6875    -1.75      -1.5078125],"[-0.49609375  1.3046875   0.11816406 ... -0.38671875 -0.1875
  0.45703125]"
HumanEval/49,1.0569409022659053,1,160,"[-0.32421875  1.0546875  -0.41015625 ...  1.1484375  -1.3671875
 -0.90234375]","[-0.23632812  1.140625   -0.03222656 ... -0.765625    0.12792969
  0.09667969]"
HumanEval/50,0.6004570903570379,1,145,"[-0.25        0.9140625  -0.25585938 ...  0.98046875 -1.125
 -0.49023438]","[-0.44140625  1.2109375   0.46484375 ... -1.578125    1.5234375
  1.3359375 ]"
HumanEval/51,-0.0,1,177,"[ 0.01806641  1.0234375  -0.38671875 ...  0.75       -1.921875
  1.4140625 ]","[-0.37109375  1.234375    0.04272461 ... -0.5         0.6875
  0.609375  ]"
HumanEval/52,0.6032202880070714,1,134,"[-0.49023438  1.0078125  -0.25585938 ...  1.8203125  -1.7734375
 -1.34375   ]","[-0.27539062  1.4296875   0.1640625  ...  0.31054688 -0.57421875
  0.4921875 ]"
HumanEval/53,-0.0,1,108,"[-0.40234375  1.0390625  -0.296875   ...  2.0625     -1.3828125
 -1.375     ]","[-0.359375    1.328125    0.13867188 ... -1.015625    0.34765625
  0.86328125]"
HumanEval/54,0.40891963068981585,0,195,"[-0.48828125  1.140625   -0.390625   ...  1.6328125  -1.65625
 -1.4375    ]","[-0.49609375  1.0390625   0.15429688 ... -1.1875      2.078125
 -0.22558594]"
HumanEval/55,-0.0,1,107,"[-0.12304688  0.71484375 -0.6171875  ...  0.15917969 -0.97265625
 -1.046875  ]","[-0.11035156  1.1484375   0.04736328 ... -1.0625      0.16992188
  0.4609375 ]"
HumanEval/56,0.50062930859666,1,147,"[-0.44921875  1.234375   -0.43164062 ...  1.6875     -1.4921875
 -0.66796875]","[-0.40039062  1.0390625   0.06445312 ...  0.16699219  0.55078125
  0.98046875]"
HumanEval/57,0.17696680296781753,1,142,"[-0.3828125   1.1171875  -0.26953125 ...  1.71875    -1.4296875
 -1.328125  ]","[-0.4453125   1.40625     0.09277344 ...  0.06396484  0.38476562
  0.36328125]"
HumanEval/58,-0.0,1,169,"[-0.48046875  1.046875   -0.19726562 ...  1.4453125  -1.671875
 -1.5390625 ]","[-0.265625    1.25       -0.01416016 ... -0.31640625  1.4140625
  0.14746094]"
HumanEval/59,0.3231941504060285,1,118,"[-0.40625     1.0546875  -0.27929688 ...  1.359375   -1.578125
 -0.6328125 ]","[-0.19042969  0.94140625  0.04150391 ... -0.6640625   0.35351562
  0.5078125 ]"
HumanEval/60,-0.0,1,149,"[-0.42578125  1.0859375  -0.21679688 ...  1.7109375  -1.46875
 -1.734375  ]","[-0.24023438  1.3515625  -0.00619507 ...  0.00271606 -0.37695312
  1.34375   ]"
HumanEval/61,0.5468828661358358,1,144,"[-0.40625     1.2109375  -0.40820312 ...  1.75       -1.53125
 -0.52734375]","[-0.39257812  1.0078125  -0.00488281 ... -0.16503906  0.6640625
  1.2578125 ]"
HumanEval/62,0.47617358992476244,1,163,"[-0.4140625   1.09375    -0.11376953 ...  1.875      -1.8671875
 -1.3984375 ]","[-0.29882812  1.2578125   0.14746094 ... -1.453125    0.48632812
  0.953125  ]"
HumanEval/63,0.7898925436938246,0,204,"[-0.01074219  0.8671875  -0.671875   ... -0.09130859 -0.98046875
 -1.1328125 ]","[-0.27734375  1.0625     -0.06738281 ... -0.69921875  0.81640625
  0.66796875]"
HumanEval/64,1.6942119275381295,0,181,"[-0.11328125  0.8984375  -0.24121094 ...  1.1484375  -1.21875
 -1.0859375 ]","[-0.12695312  1.0078125   0.21289062 ... -2.          1.09375
  1.046875  ]"
HumanEval/65,0.3872341925923889,0,137,"[-0.39648438  1.0859375  -0.3515625  ...  2.03125    -1.5234375
 -1.34375   ]","[-0.40234375  1.2421875   0.12597656 ... -0.40234375  0.7890625
  0.3203125 ]"
HumanEval/66,-0.0,1,167,"[-0.36328125  0.96484375 -0.39257812 ...  1.421875   -1.515625
 -1.6640625 ]","[-0.26953125  1.28125    -0.04345703 ... -0.5546875   0.78515625
  0.86328125]"
HumanEval/67,2.0839317445362235,0,265,"[-0.35546875  1.2265625  -0.54296875 ...  1.859375   -1.0390625
 -1.3671875 ]","[-0.29296875  1.03125     0.01977539 ... -0.65234375  0.59765625
  0.62109375]"
HumanEval/68,1.0105027292077622,0,367,"[-0.3125      1.0078125  -0.41796875 ...  1.3515625  -1.46875
 -1.4140625 ]","[-0.39257812  1.09375    -0.21484375 ...  0.18066406  0.51171875
  0.5625    ]"
HumanEval/69,0.490520730953576,0,220,"[-0.25976562  1.1796875  -0.625      ...  1.5078125  -1.1484375
 -1.3515625 ]","[-0.43359375  1.1953125   0.00708008 ... -0.57421875  0.51171875
  0.9140625 ]"
HumanEval/70,0.6591215811795829,0,179,"[-0.29492188  1.1640625  -0.5078125  ...  1.4296875  -1.125
 -0.4375    ]","[-0.48632812  1.296875   -0.02050781 ... -0.11816406  0.06201172
  0.5078125 ]"
HumanEval/71,-0.0,0,176,"[-0.49609375  1.234375   -0.4609375  ...  1.0859375  -1.3515625
 -0.89453125]","[-0.20703125  1.1640625  -0.15917969 ... -0.29101562  0.5078125
  1.0625    ]"
HumanEval/72,0.8187344898191721,0,285,"[-0.46679688  1.1796875  -0.42578125 ...  1.4609375  -1.59375
 -1.3828125 ]","[-0.359375    1.28125     0.00463867 ... -0.14648438  0.359375
  0.34570312]"
HumanEval/73,0.92417202372994,1,212,"[-0.50390625  0.96875    -0.37890625 ...  1.359375   -1.1953125
 -0.39453125]","[-0.55078125  0.98828125  0.06201172 ... -1.109375    0.625
  0.22167969]"
HumanEval/74,0.4937479456926309,0,248,"[-0.34765625  1.0625     -0.37109375 ...  1.171875   -1.625
 -1.1796875 ]","[-0.30078125  1.2734375  -0.00683594 ... -0.45507812  1.3984375
  0.7890625 ]"
HumanEval/75,0.6087477883446031,0,134,"[-0.42773438  1.1015625  -0.42578125 ...  1.7421875  -1.296875
 -0.82421875]","[-0.26171875  0.9140625   0.13964844 ... -0.7265625   0.07470703
  0.55078125]"
HumanEval/76,-0.0,0,197,"[-0.49609375  1.0625     -0.5234375  ...  1.3828125  -1.625
 -1.828125  ]","[-0.34375     1.1875     -0.16796875 ... -0.57421875  0.265625
  0.8125    ]"
HumanEval/77,0.5025127361758782,0,165,"[-0.48242188  1.1953125  -0.32421875 ...  1.3046875  -1.4609375
 -1.4921875 ]","[-0.25585938  1.3125     -0.1328125  ... -0.43554688 -0.46679688
  0.875     ]"
HumanEval/78,1.559062990929379,1,354,"[-0.42578125  1.2265625  -0.6328125  ...  1.421875   -1.0546875
 -1.25      ]","[-0.25390625  1.0625     -0.04736328 ... -1.296875    0.87890625
  0.66796875]"
HumanEval/79,-0.0,1,194,"[-0.30273438  0.875      -0.45703125 ...  1.5        -1.375
 -1.84375   ]","[-0.5390625   1.15625    -0.01843262 ... -1.3125      0.6875
  0.2265625 ]"
HumanEval/80,1.2120912600298661,0,176,"[-0.45117188  1.03125    -0.36132812 ...  1.171875   -1.5703125
 -1.203125  ]","[-0.4296875   1.1484375  -0.06030273 ... -0.48632812  0.85546875
  0.53515625]"
HumanEval/81,0.9699249771011147,0,325,"[-0.375       1.2109375  -0.33789062 ...  1.8046875  -1.3828125
 -1.2421875 ]","[-0.32226562  1.2578125  -0.0546875  ... -1.359375    0.42382812
  0.7265625 ]"
HumanEval/82,0.6073576328037448,1,136,"[-0.5         1.0703125  -0.45507812 ...  1.375      -0.4375
 -0.6796875 ]","[-0.23046875  0.98046875  0.08691406 ... -0.63671875  0.50390625
  0.80078125]"
HumanEval/83,0.20923528185208418,0,99,"[-0.33984375  1.140625   -0.35351562 ...  1.6328125  -0.9921875
 -1.7265625 ]","[-0.36132812  1.015625    0.16210938 ... -0.265625    1.1328125
  0.34570312]"
HumanEval/84,-0.0,0,188,"[-0.33203125  0.8125     -0.421875   ...  0.91015625 -0.98828125
 -1.890625  ]","[-0.328125    1.078125   -0.03808594 ... -0.890625    0.85546875
  0.5       ]"
HumanEval/85,-0.0,1,110,"[-0.3671875   1.0078125  -0.24707031 ...  1.5625     -1.2265625
 -1.3125    ]","[-0.31640625  1.3203125   0.08496094 ... -0.55078125  0.15332031
  0.66796875]"
HumanEval/86,0.7488480860002149,0,185,[-0.390625   1.0625    -0.15625   ...  1.796875  -1.5703125 -1.203125 ],"[-0.5078125   1.234375    0.09570312 ... -1.078125    1.1796875
  0.6484375 ]"
HumanEval/87,0.7512527185508838,0,314,"[-0.31640625  1.0390625  -0.51171875 ...  1.421875   -1.4140625
 -1.1875    ]","[-0.62109375  1.2109375   0.04589844 ... -1.0078125   1.09375
  0.33203125]"
HumanEval/88,0.8253061569793869,0,258,[-0.375      1.046875  -0.25      ...  1.40625   -1.5703125 -1.1796875],"[-0.5546875   1.15625    -0.03735352 ... -0.54296875  0.49023438
  0.49609375]"
HumanEval/89,-0.0,0,165,"[-0.3203125   1.1015625  -0.41601562 ...  1.453125   -1.4609375
 -1.3203125 ]","[-0.47460938  1.1796875   0.0859375  ... -1.0703125   0.796875
  1.0546875 ]"
HumanEval/90,0.19382956110238078,0,179,"[-0.4140625   1.2109375  -0.42578125 ...  1.6328125  -1.5
 -1.578125  ]","[-0.3515625   1.1640625  -0.08398438 ... -0.25585938  0.69921875
 -0.13183594]"
HumanEval/91,1.0177498340863145,0,162,[-0.3125     0.96875   -0.4375    ...  1.5234375 -1.3828125 -1.25     ],"[-0.359375    1.2578125  -0.04443359 ... -0.91015625  0.94140625
  0.71484375]"
HumanEval/92,1.4896243194415024,0,190,"[-0.30859375  1.0390625  -0.4921875  ...  1.453125   -1.109375
 -0.9453125 ]","[-0.31640625  1.2578125  -0.05029297 ... -0.1953125   0.08837891
  0.59765625]"
HumanEval/93,0.5750432161651161,0,164,"[-0.32226562  1.109375   -0.38085938 ...  1.2109375  -1.65625
 -1.0703125 ]","[-0.5390625   1.2734375   0.01074219 ... -1.109375    0.64453125
  0.8828125 ]"
HumanEval/94,0.6476568000491207,0,341,"[-0.34375     1.21875    -0.453125   ...  1.203125   -1.109375
 -0.26757812]","[-0.25585938  1.078125   -0.05664062 ... -0.953125    0.61328125
  0.84375   ]"
HumanEval/95,1.3803519146958743,0,224,"[-0.32617188  1.03125    -0.26757812 ...  1.609375   -1.171875
 -1.296875  ]","[-0.23632812  1.3125      0.0177002  ... -0.66015625  0.4765625
  0.34375   ]"
HumanEval/96,0.18894855260308896,1,200,"[-0.31445312  1.1796875  -0.34179688 ...  1.65625    -1.453125
 -0.86328125]","[-0.17773438  1.1796875  -0.1171875  ... -0.83984375  0.35742188
  0.84765625]"
HumanEval/97,0.554343980865439,1,153,"[-0.40234375  1.1796875  -0.44921875 ...  1.6015625  -1.0859375
 -1.921875  ]","[-0.56640625  1.34375     0.03027344 ... -0.91796875  0.66796875
  0.7421875 ]"
HumanEval/98,0.4089436615584683,1,127,"[-0.28515625  1.0625     -0.18847656 ...  1.5        -1.6015625
 -1.25      ]","[-0.29882812  1.328125    0.09277344 ...  0.11621094  1.09375
  0.7265625 ]"
HumanEval/99,1.2115923302499103,0,211,"[-0.50390625  1.3203125  -0.58203125 ...  1.1171875  -0.96875
 -1.2421875 ]","[-0.546875    1.234375    0.04394531 ... -0.80859375  0.65234375
  0.80078125]"
HumanEval/100,0.9879407374507725,0,187,"[-0.34960938  1.1640625  -0.27148438 ...  1.5546875  -2.03125
 -1.40625   ]","[-0.2734375   1.3125      0.03222656 ... -0.19433594 -0.41601562
  0.4921875 ]"
HumanEval/101,-0.0,1,171,"[-0.45117188  1.         -0.23339844 ...  1.6875     -1.4453125
 -1.53125   ]","[-0.43164062  1.4609375  -0.01086426 ... -0.00265503  0.453125
  0.8046875 ]"
HumanEval/102,0.19016172586547878,0,149,"[ 0.02929688  1.8984375  -0.11962891 ... -1.1796875  -2.546875
  0.12060547]","[-0.41210938  1.1796875   0.02880859 ... -0.15820312 -0.11572266
  0.84765625]"
HumanEval/103,0.31430947505862056,0,195,"[-0.40039062  1.         -0.4453125  ...  1.3203125  -1.2421875
 -1.3984375 ]","[-0.43359375  1.078125   -0.09765625 ... -0.84765625  0.68359375
  0.7421875 ]"
HumanEval/104,1.3197308835591288,0,157,"[-0.43554688  1.046875   -0.15820312 ...  1.3515625  -1.8515625
 -1.453125  ]","[-0.21191406  1.1796875   0.02648926 ... -0.5546875   0.29296875
  0.8203125 ]"
HumanEval/105,1.3235395270796537,0,331,"[-0.27929688  1.1796875  -0.41015625 ...  1.625      -1.109375
 -0.78125   ]","[-0.35742188  1.2421875  -0.02770996 ... -0.98046875  0.80078125
  1.0390625 ]"
HumanEval/106,1.2329741660643925,0,179,[-0.34375    1.0546875 -0.2421875 ...  1.4921875 -1.65625   -1.25     ],"[-0.36523438  1.3515625  -0.09765625 ... -0.8515625   0.59765625
  0.89453125]"
HumanEval/107,0.5491126039299333,1,266,"[-0.36328125  1.03125    -0.5625     ...  1.2265625  -1.25
 -1.1171875 ]","[-0.54296875  0.8828125  -0.05761719 ... -0.83203125  1.0078125
  0.58203125]"
HumanEval/108,0.5648940671469456,0,179,"[-0.38671875  1.1171875  -0.3203125  ...  1.625      -1.640625
 -1.515625  ]","[-0.31640625  1.34375    -0.02099609 ... -0.328125    0.57421875
  0.828125  ]"
HumanEval/109,0.9005904980335631,0,354,"[-0.42382812  1.03125    -0.4140625  ...  1.03125    -1.3203125
 -1.53125   ]","[-0.24121094  0.98828125 -0.0402832  ... -0.47265625  0.58203125
  0.45117188]"
HumanEval/110,0.31610009384843574,0,252,"[-0.46484375  1.0625     -0.4453125  ...  1.3828125  -1.828125
 -2.03125   ]","[-0.40625     1.0625     -0.03149414 ... -0.2109375   0.453125
  0.89453125]"
HumanEval/111,1.0453173585516708,1,206,"[-0.33789062  1.0546875  -0.484375   ...  1.703125   -1.3671875
 -0.62890625]","[-0.34765625  1.21875    -0.01025391 ... -1.0546875   2.109375
  0.34375   ]"
HumanEval/112,0.8041215132444646,0,217,"[-0.56640625  1.0703125  -0.265625   ...  1.578125   -0.94140625
 -1.4140625 ]","[-0.48828125  1.078125   -0.09082031 ... -1.6171875   0.5
  1.125     ]"
HumanEval/113,1.3144244938488407,0,228,"[-0.4140625   1.         -0.18652344 ...  1.8359375  -1.9765625
 -1.0546875 ]","[-0.39453125  1.34375    -0.02734375 ... -1.0703125   0.34570312
  0.9453125 ]"
HumanEval/114,0.19720984253691473,1,143,"[-0.36328125  1.09375    -0.42578125 ...  1.234375   -0.8671875
 -0.25976562]","[-0.61328125  0.984375    0.07177734 ...  0.52734375  0.2734375
  0.640625  ]"
HumanEval/115,0.8815832845821596,0,378,[-0.3984375  1.0390625 -0.5234375 ...  1.28125   -1.484375  -1.0546875],"[-4.1210938e-01  9.2578125e-01  1.5869141e-03 ... -7.8125000e-01
  1.9062500e+00  4.3750000e-01]"
HumanEval/116,0.6930529876250897,1,225,"[-0.37890625  1.078125   -0.30273438 ...  1.4609375  -1.5390625
 -1.5703125 ]","[-0.31054688  1.125      -0.06298828 ... -0.50390625  0.69921875
  0.21582031]"
HumanEval/117,1.1334395809414237,0,236,"[-0.15234375  0.94921875 -0.48242188 ...  1.0859375  -1.2421875
 -1.1484375 ]","[-0.43359375  1.1015625   0.02612305 ... -0.76171875  0.80078125
  0.93359375]"
HumanEval/118,0.18376617150357125,0,204,"[-0.42382812  1.0703125  -0.71875    ...  1.390625   -1.3203125
 -1.0546875 ]","[-0.546875    1.03125     0.04345703 ... -0.70703125  0.97265625
  0.27148438]"
HumanEval/119,0.8160466175908869,0,223,[-0.4375     1.1015625 -0.4375    ...  1.53125   -1.6328125 -1.609375 ],"[-0.390625    0.9453125   0.03149414 ... -0.71875     0.48632812
  1.1171875 ]"
HumanEval/120,0.28302874032782144,0,272,"[-0.49804688  1.015625   -0.36914062 ...  1.5078125  -1.171875
 -1.8046875 ]","[-0.26367188  1.296875   -0.02758789 ... -0.39453125  0.7734375
  0.2734375 ]"
HumanEval/121,0.40519951601718535,1,152,"[-0.35546875  1.0234375  -0.265625   ...  1.578125   -1.296875
 -1.4765625 ]","[-0.3359375   1.28125     0.0246582  ... -0.24511719  0.546875
  0.85546875]"
HumanEval/122,0.7364945332012276,1,183,"[-0.44335938  0.9921875  -0.3671875  ...  1.3828125  -1.546875
 -1.765625  ]","[-0.45507812  1.09375     0.13671875 ... -0.02954102  0.84765625
  0.8046875 ]"
HumanEval/123,1.3335727818702232,1,286,"[-0.3828125   1.1171875  -0.37890625 ...  1.4140625  -0.96875
 -0.83203125]","[-0.25390625  1.1875     -0.06079102 ... -0.7265625   0.640625
  1.03125   ]"
HumanEval/124,1.2678236788580988,0,318,"[-0.2578125   1.1640625  -0.46679688 ...  1.203125   -1.4296875
 -1.34375   ]","[-0.41601562  0.77734375 -0.17773438 ... -2.171875    0.8359375
  0.62109375]"
HumanEval/125,0.20507405774556522,0,195,"[-0.38671875  0.91796875 -0.45898438 ...  1.0859375  -1.4140625
 -0.8671875 ]","[-0.33984375  1.28125    -0.14941406 ... -0.765625    0.6328125
  1.0625    ]"
HumanEval/126,-0.0,0,304,"[-0.42773438  1.109375   -0.27148438 ...  1.4296875  -1.5
 -1.1875    ]","[-0.21386719  1.2109375  -0.10742188 ... -0.32226562  0.33203125
  0.58984375]"
