task_id,semantic_entropy,pass_at_1,prompt_len,SLT,TBG
HumanEval/21,0.7758436323953415,0,174,"[ 0.171875   -0.69921875 -1.703125   ... -0.53125    -0.07421875
 -0.55078125]","[-0.5625      2.390625   -0.3046875  ... -0.12695312 -0.04589844
 -0.55078125]"
HumanEval/22,0.7772961030673103,1,140,"[ 0.65625     0.5        -1.015625   ...  0.24121094 -0.13964844
 -0.27929688]","[-0.4375      0.89453125 -1.78125    ... -0.12792969 -0.17480469
 -0.578125  ]"
HumanEval/23,1.096693248612253,1,86,"[ 0.640625    0.41992188 -1.265625   ...  0.47265625 -0.02404785
 -0.49804688]","[ 0.35546875 -0.0390625  -0.8046875  ... -0.16308594 -0.12451172
 -0.58984375]"
HumanEval/24,1.803268794547186,1,96,"[ 0.859375    0.5        -0.296875   ...  0.28125    -0.16503906
 -0.37695312]","[ 0.5625      0.04492188 -1.671875   ... -0.1875     -0.234375
 -0.49414062]"
HumanEval/25,0.6942120763840509,1,176,"[ 0.2578125  -0.24902344 -1.171875   ...  0.59765625  0.04833984
 -0.23046875]","[ 0.14453125  0.828125   -1.2890625  ... -0.20703125 -0.28125
 -0.52734375]"
HumanEval/26,1.1925949612954059,0,136,"[ 0.9140625   0.05078125  0.49609375 ...  0.34375    -0.15917969
 -0.34375   ]","[-0.21386719  0.75390625 -1.0546875  ... -0.16699219 -0.22167969
 -0.55078125]"
HumanEval/27,2.166722440698248,1,97,"[ 0.75390625  0.88671875 -0.22460938 ...  0.41796875 -0.13867188
 -0.45117188]","[ 0.49804688  0.77734375 -1.6328125  ... -0.18554688 -0.09375
 -0.515625  ]"
HumanEval/28,1.126205670656738,1,108,"[ 0.640625   -0.00390625 -1.28125    ...  0.09472656 -0.296875
 -0.46289062]","[ 1.125       1.5546875  -1.15625    ... -0.11132812 -0.18652344
 -0.64453125]"
HumanEval/29,1.3583404597024606,1,141,"[ 0.58203125  0.32421875 -1.3671875  ...  0.23535156 -0.21777344
 -0.37890625]","[ 0.27148438  0.94140625 -1.59375    ... -0.25585938 -0.13476562
 -0.63671875]"
HumanEval/30,0.49811337859140625,1,165,"[ 0.5703125   0.8203125  -1.34375    ...  0.4921875   0.04736328
 -0.28320312]","[ 0.15625     0.33984375 -2.         ... -0.25       -0.20800781
 -0.51171875]"
HumanEval/31,0.9459576601975658,1,160,"[ 0.9765625   0.52734375 -1.3359375  ...  0.33398438 -0.08740234
 -0.3984375 ]","[ 0.37109375  0.62890625 -0.94921875 ... -0.15917969 -0.30664062
 -0.55859375]"
HumanEval/32,0.7530376495385521,0,335,"[-0.21679688  1.90625    -0.6484375  ...  0.35351562  0.02294922
 -0.32421875]","[-0.55078125  1.7109375  -0.80859375 ... -0.34765625 -0.06591797
 -0.53515625]"
HumanEval/33,0.5824265611066217,1,198,"[-0.015625    1.0703125  -1.5078125  ...  0.5078125   0.04174805
 -0.29101562]","[ 0.41992188  1.109375   -1.8203125  ... -0.28320312 -0.171875
 -0.34179688]"
HumanEval/34,0.38508309151217224,1,117,"[-0.0078125   1.0703125  -2.03125    ...  0.07275391 -0.33007812
 -0.51171875]","[ 0.671875   -0.0546875  -2.15625    ... -0.17578125 -0.21875
 -0.65625   ]"
HumanEval/35,0.6368333352282907,1,129,"[ 0.77734375  0.8359375  -1.4765625  ...  0.49414062  0.04199219
 -0.34765625]","[-0.3828125   0.59375    -1.328125   ... -0.22558594 -0.11572266
 -0.52734375]"
HumanEval/36,0.7219255909816213,1,132,"[-0.01953125 -0.12109375 -1.296875   ...  0.58203125 -0.00193024
 -0.28710938]","[ 0.72265625  0.25976562 -1.453125   ... -0.11767578 -0.21582031
 -0.5703125 ]"
HumanEval/37,0.8702612476508849,1,169,"[-0.16796875  0.640625   -1.2421875  ...  0.46679688  0.0612793
 -0.31445312]","[ 0.38671875  0.92578125 -1.6875     ... -0.296875   -0.15527344
 -0.48632812]"
HumanEval/38,0.6885601988053685,0,223,"[-0.3203125  -1.265625    1.0859375  ... -0.52734375  0.06591797
 -0.65234375]","[ 1.75        1.4375     -1.609375   ... -0.31054688 -0.22558594
 -0.65234375]"
HumanEval/39,1.7409045562311216,0,152,"[ 1.640625   -0.19628906 -0.24511719 ... -0.12060547 -0.18164062
 -0.34179688]","[ 1.046875    0.703125   -0.65625    ... -0.09667969 -0.33984375
 -0.55859375]"
HumanEval/40,0.8813448438509017,1,234,"[ 0.6875      0.703125   -1.546875   ...  0.33398438 -0.07763672
 -0.31640625]","[ 0.13574219  1.5078125  -0.6015625  ... -0.34179688 -0.18457031
 -0.38867188]"
HumanEval/41,1.8142689375783643,0,208,"[ 0.8125      2.5625     -1.578125   ...  0.33398438 -0.01977539
  0.31835938]","[ 1.921875    0.41015625  0.2890625  ... -0.08007812 -0.20507812
 -0.56640625]"
HumanEval/42,0.1973430714632653,1,163,"[ 0.28515625  0.8515625  -1.7265625  ...  0.41796875 -0.02185059
 -0.33789062]","[-0.3515625   1.0234375  -1.828125   ... -0.23046875 -0.23925781
 -0.53125   ]"
HumanEval/43,1.2510788872839627,1,224,"[ 0.671875    0.640625   -1.0390625  ...  0.26171875 -0.14355469
 -0.37890625]","[ 0.04101562  1.078125   -1.1875     ... -0.21191406 -0.1328125
 -0.6171875 ]"
HumanEval/44,1.2007160653412745,1,148,"[ 1.03125     0.17578125 -1.703125   ...  0.42578125 -0.07421875
 -0.27734375]","[ 1.109375    0.9375     -1.515625   ... -0.18261719 -0.20605469
 -0.65625   ]"
HumanEval/45,0.3962086382098908,1,87,"[-0.06152344  1.3359375  -0.55859375 ...  0.23535156 -0.21386719
 -0.44921875]","[ 1.1796875   0.26953125 -1.953125   ... -0.4296875  -0.21875
 -0.55859375]"
HumanEval/46,0.19303334282970952,1,226,"[ 0.05859375  0.17578125 -1.390625   ...  0.59765625 -0.04370117
 -0.30859375]","[ 0.265625    0.515625   -2.1875     ... -0.1953125  -0.20507812
 -0.39648438]"
HumanEval/47,0.6930693819449327,1,121,"[ 0.83203125  0.43359375 -1.3828125  ...  0.41015625 -0.06396484
 -0.37304688]","[ 1.3125     -0.23242188 -0.5546875  ... -0.11132812 -0.13769531
 -0.54296875]"
HumanEval/48,0.6463441330846135,1,129,"[ 1.265625    0.42578125 -1.484375   ...  0.5234375  -0.0145874
 -0.36328125]","[ 0.546875    0.58203125 -1.4609375  ... -0.21679688 -0.16796875
 -0.5546875 ]"
HumanEval/49,0.5859482793814059,1,157,"[ 1.3359375   0.23632812 -1.265625   ...  0.58984375 -0.04101562
 -0.23632812]","[-0.09960938  0.87890625 -1.453125   ... -0.24707031 -0.32421875
 -0.671875  ]"
HumanEval/50,2.2460091263716504,1,148,"[ 0.828125    0.09570312 -1.0625     ...  0.18554688 -0.234375
 -0.5234375 ]","[ 1.109375    1.171875   -1.75       ... -0.29492188 -0.12792969
 -0.671875  ]"
HumanEval/51,0.18794983724994324,1,193,"[ 0.375       0.39648438 -1.4921875  ...  0.59765625  0.07128906
 -0.30859375]","[ 0.16699219 -0.12304688 -1.59375    ... -0.14941406 -0.10693359
 -0.578125  ]"
HumanEval/52,0.6698423192648897,1,131,"[ 0.87890625  0.43945312 -1.578125   ...  0.3359375   0.02502441
 -0.36328125]","[ 0.79296875  0.703125   -1.6640625  ... -0.32226562 -0.1796875
 -0.48828125]"
HumanEval/53,0.5540481504992523,1,92,"[ 0.5625      0.86328125 -0.80859375 ...  0.37890625 -0.14746094
 -0.4453125 ]","[ 0.09375     0.9765625  -1.640625   ... -0.24121094 -0.14355469
 -0.6796875 ]"
HumanEval/54,0.6917619377255242,0,218,"[ 0.828125    1.484375   -1.5390625  ...  0.4296875  -0.00445557
 -0.36328125]","[ 1.21875     1.1953125  -1.859375   ... -0.15527344 -0.22949219
 -0.61328125]"
HumanEval/55,1.2569548622028504,1,99,"[ 1.078125    0.20996094 -1.265625   ...  0.60546875 -0.07568359
 -0.2890625 ]","[-0.22460938  0.3359375  -1.796875   ... -0.15332031 -0.24121094
 -0.50390625]"
HumanEval/56,0.1940640386249367,1,149,"[ 1.078125    0.6328125  -1.53125    ...  0.5         0.00738525
 -0.4921875 ]","[ 0.13671875  0.43554688 -1.3984375  ... -0.18359375 -0.20214844
 -0.51171875]"
HumanEval/57,1.3197118237431897,1,133,"[ 0.9609375   0.23925781 -1.15625    ...  0.22851562 -0.18847656
 -0.48242188]","[ 0.54296875  0.8671875  -1.375      ... -0.20703125 -0.24511719
 -0.42382812]"
HumanEval/58,0.49163693789369173,1,167,"[ 0.3203125   0.640625   -1.171875   ...  0.4296875  -0.04370117
 -0.29882812]","[ 1.265625    0.24609375 -2.078125   ... -0.19921875 -0.16992188
 -0.58203125]"
HumanEval/59,0.9230361704219485,1,113,"[ 0.58203125  0.6015625  -0.734375   ...  0.29101562 -0.15136719
 -0.41796875]","[ 0.59375     0.13085938 -1.4375     ... -0.18261719 -0.31445312
 -0.51171875]"
HumanEval/60,0.5996495986461505,1,157,"[ 0.8203125   0.05664062 -1.140625   ...  0.53125    -0.09326172
 -0.24316406]","[ 0.08203125  0.9609375  -0.9609375  ... -0.21972656 -0.26171875
 -0.56640625]"
HumanEval/61,0.3009984700975437,1,146,"[ 0.20703125  0.69921875 -1.6484375  ...  0.44921875 -0.10644531
 -0.33984375]","[-0.30664062  0.32617188 -1.671875   ... -0.19335938 -0.18457031
 -0.55859375]"
HumanEval/62,0.5584980740990889,1,158,"[ 0.9921875   0.28125    -1.578125   ...  0.41796875  0.04272461
 -0.35351562]","[-0.4921875   1.5078125  -1.359375   ... -0.26953125 -0.12890625
 -0.55859375]"
HumanEval/63,0.38173042500211807,1,210,"[ 0.9609375   0.5234375  -1.3515625  ...  0.58984375 -0.06176758
 -0.30273438]","[ 0.40820312  0.703125   -2.03125    ... -0.18554688 -0.22558594
 -0.3671875 ]"
HumanEval/64,2.9216084123373935,0,181,"[ 1.703125    1.1953125  -0.0546875  ...  0.23632812 -0.22363281
 -0.56640625]","[ 0.07226562  0.83203125 -1.9765625  ... -0.28320312 -0.26953125
 -0.52734375]"
HumanEval/65,2.7887499791645287,0,138,"[ 0.4765625   0.45507812 -0.5234375  ...  0.11914062 -0.18945312
 -0.30859375]","[ 1.4453125   0.53125    -1.3359375  ... -0.1328125  -0.15136719
 -0.70703125]"
HumanEval/66,0.41748807114182185,1,159,"[ 0.55859375  0.31835938 -1.703125   ...  0.51171875  0.02185059
 -0.29101562]","[ 0.14453125  0.98828125 -2.1875     ... -0.20703125 -0.21582031
 -0.6171875 ]"
HumanEval/67,1.6751924817781627,0,282,"[ 0.46484375  0.13476562 -1.203125   ...  0.52734375 -0.06054688
 -0.29492188]","[ 1.421875    0.8125     -2.6875     ... -0.13964844 -0.25390625
 -0.45703125]"
HumanEval/68,1.3312123769979824,1,393,"[ 0.60546875  1.15625    -1.546875   ...  0.45117188 -0.12109375
 -0.3203125 ]","[ 0.06445312  0.67578125 -1.4375     ... -0.31640625 -0.3203125
 -0.46679688]"
HumanEval/69,1.5548538032627546,0,208,"[ 0.2109375   0.54296875 -1.1640625  ...  0.37890625 -0.13867188
 -0.359375  ]","[-0.08984375  0.45898438 -2.921875   ... -0.24121094 -0.359375
 -0.609375  ]"
HumanEval/70,1.3768870985781505,1,182,"[-0.33789062  0.18359375 -0.9140625  ...  0.33398438 -0.26953125
 -0.48242188]","[ 0.32421875  1.328125   -2.140625   ... -0.14941406 -0.328125
 -0.4921875 ]"
HumanEval/71,1.8049830332118713,1,167,"[ 1.171875    0.06640625  0.234375   ...  0.27539062 -0.265625
 -0.47851562]","[ 0.48828125 -0.65625    -2.171875   ... -0.28320312 -0.30273438
 -0.53515625]"
HumanEval/72,0.6674503124813838,1,300,"[ 1.140625    0.62890625 -1.8125     ...  0.40234375 -0.06396484
 -0.34765625]","[ 1.1953125   0.9375     -2.390625   ... -0.28515625 -0.22070312
 -0.49804688]"
HumanEval/73,1.1343621783053779,1,200,"[ 0.65625     0.5625     -0.8125     ...  0.19921875 -0.25
 -0.41015625]","[-0.11328125  1.1015625  -2.171875   ... -0.31054688 -0.22558594
 -0.54296875]"
HumanEval/74,0.5534299433635197,1,263,"[-0.03125     0.97265625 -1.109375   ...  0.51171875 -0.03857422
 -0.27929688]","[ 0.86328125  0.984375   -2.09375    ... -0.28710938 -0.21386719
 -0.45117188]"
HumanEval/75,2.3144012493549244,0,130,"[ 0.25        0.5625     -0.54296875 ...  0.27148438 -0.04370117
 -0.4765625 ]","[ 1.125       0.1484375  -1.3203125  ... -0.11816406 -0.41015625
 -0.57421875]"
HumanEval/76,2.2917306245126308,0,196,"[ 0.41796875  0.5390625  -1.625      ...  0.4140625  -0.02258301
 -0.38867188]","[ 0.45507812  0.5390625  -1.71875    ... -0.18359375 -0.30273438
 -0.68359375]"
HumanEval/77,1.5156961137957583,1,169,"[ 0.25390625  0.390625   -1.109375   ...  0.49414062 -0.06835938
 -0.39453125]","[ 0.48242188  0.51171875 -1.3125     ... -0.29492188 -0.18847656
 -0.69140625]"
HumanEval/78,1.755744252704967,0,394,"[ 0.91015625  0.91796875 -1.359375   ...  0.31445312 -0.13867188
 -0.34375   ]","[ 1.0703125   0.09765625 -1.3984375  ... -0.13183594 -0.26367188
 -0.54296875]"
HumanEval/79,1.2670166861559702,1,199,"[ 1.          0.8125     -0.61328125 ... -0.03588867 -0.25195312
 -0.609375  ]","[ 0.9296875   0.49804688 -2.09375    ... -0.06494141 -0.10888672
 -0.66796875]"
HumanEval/80,0.7893158185001123,1,168,"[ 0.28710938  0.27929688 -1.0234375  ...  0.33984375 -0.08447266
 -0.38671875]","[ 0.61328125  0.8515625  -2.453125   ... -0.15820312 -0.234375
 -0.65234375]"
HumanEval/81,1.0628019945662606,0,320,"[ 0.984375    1.203125   -1.234375   ...  0.0246582  -0.30078125
 -0.7265625 ]","[ 0.71875     0.8671875  -3.609375   ... -0.26367188 -0.24902344
 -0.5625    ]"
HumanEval/82,0.5547531904202166,1,125,"[ 0.875      -0.20996094 -1.890625   ...  0.7421875   0.08251953
 -0.29296875]","[ 0.796875    0.3515625  -1.3203125  ... -0.11523438 -0.328125
 -0.63671875]"
HumanEval/83,2.020279807429665,1,87,"[ 1.1171875   0.06884766  0.4140625  ...  0.19140625 -0.33398438
 -0.57421875]","[ 1.203125   -0.09570312  0.21875    ... -0.29101562 -0.18652344
 -0.640625  ]"
HumanEval/84,1.1093057748758688,0,203,"[ 4.0625000e-01  4.5117188e-01 -1.3437500e+00 ...  3.9843750e-01
  9.9945068e-04 -4.1015625e-01]","[ 0.98828125  0.77734375 -1.71875    ... -0.18261719 -0.31054688
 -0.6171875 ]"
HumanEval/85,2.456324208247534,0,99,"[ 1.015625    0.54296875  0.078125   ... -0.33398438 -0.13476562
 -0.57421875]","[ 0.015625    1.0078125  -1.84375    ... -0.32226562 -0.20800781
 -0.47070312]"
HumanEval/86,0.5082394002301701,1,190,"[ 0.25585938  0.75390625 -1.59375    ...  0.40234375 -0.13671875
 -0.32617188]","[ 0.953125    1.0390625  -2.390625   ... -0.28710938 -0.22070312
 -0.58203125]"
HumanEval/87,1.3757819770230166,1,329,"[-0.0234375   0.9296875  -0.9921875  ...  0.33984375 -0.09667969
 -0.29296875]","[ 0.81640625  0.9296875  -1.6875     ... -0.34570312 -0.18945312
 -0.53515625]"
HumanEval/88,1.6167329315767722,0,264,"[ 1.1875      1.140625   -1.4921875  ...  0.25976562 -0.37304688
 -0.29882812]","[ 0.33203125  0.890625   -1.734375   ... -0.30078125 -0.17675781
 -0.5078125 ]"
HumanEval/89,1.2406699236228844,0,169,"[-0.03125     0.14746094 -1.5390625  ...  0.37695312 -0.140625
 -0.34960938]","[ 1.2421875   1.328125   -3.125      ... -0.19726562 -0.13769531
 -0.58203125]"
HumanEval/90,1.4149066978000968,0,172,"[ 0.90625     0.13671875 -1.6015625  ...  0.47070312 -0.08740234
 -0.34765625]","[-0.49804688  0.76171875 -2.15625    ... -0.1875     -0.27929688
 -0.40429688]"
HumanEval/91,2.4054979507328116,0,159,"[-0.0078125   0.65234375 -0.62109375 ...  0.23632812 -0.14746094
 -0.40820312]","[ 0.7890625   0.65625    -1.453125   ... -0.15917969 -0.18652344
 -0.54296875]"
HumanEval/92,0.8559562031071626,1,198,"[ 0.50390625  0.65625    -0.9296875  ...  0.43359375 -0.03491211
 -0.34765625]","[ 0.7578125   1.5390625  -2.203125   ... -0.29492188 -0.296875
 -0.55859375]"
HumanEval/93,2.3237771563900584,0,168,"[-0.25585938  0.921875   -1.390625   ...  0.44140625 -0.16992188
 -0.32617188]","[ 1.484375    0.83203125 -2.875      ... -0.23046875 -0.22167969
 -0.51171875]"
HumanEval/94,1.1309366572963828,0,377,"[ 1.6328125  -2.03125    -0.05078125 ... -0.859375    0.15527344
 -0.48242188]","[ 0.4296875   0.6640625  -1.578125   ... -0.16210938 -0.24414062
 -0.5078125 ]"
HumanEval/95,1.54105219214721,0,249,"[ 0.39648438  1.7734375  -0.43945312 ...  0.33007812 -0.20605469
 -0.4765625 ]","[ 0.1171875   1.1171875  -1.296875   ... -0.18164062 -0.2421875
 -0.5       ]"
HumanEval/96,0.48010360465291146,1,216,"[ 0.80078125  0.26171875 -2.171875   ...  0.45117188 -0.17480469
 -0.27148438]","[ 0.2734375   0.8671875  -1.5        ... -0.12988281 -0.31835938
 -0.578125  ]"
HumanEval/97,2.3080078102588932,0,164,"[ 0.20703125  0.87109375 -1.453125   ...  0.38671875 -0.15527344
 -0.34960938]","[ 0.40039062  0.578125   -2.1875     ... -0.20214844 -0.29101562
 -0.6171875 ]"
HumanEval/98,1.6683164371537467,1,120,"[ 0.8203125   0.49609375  0.15820312 ...  0.17773438 -0.20605469
 -0.49804688]","[-0.41796875  0.38671875 -2.25       ... -0.25       -0.13574219
 -0.55859375]"
HumanEval/99,0.9367910802741396,1,213,"[ 0.6171875   0.26367188 -1.8671875  ...  0.4453125  -0.08935547
 -0.27148438]","[ 0.23828125  0.71875    -1.78125    ... -0.23046875 -0.3046875
 -0.66015625]"
HumanEval/100,2.633397452139528,0,184,"[ 0.6171875  -0.01757812 -0.5078125  ...  0.18554688 -0.234375
 -0.5078125 ]","[ 0.34375     0.83203125 -1.046875   ... -0.18066406 -0.15527344
 -0.44921875]"
HumanEval/101,1.759175461089845,1,163,"[-0.50390625  0.91796875 -1.0078125  ...  0.2734375  -0.06884766
 -0.38085938]","[ 0.53125     0.60546875 -2.0625     ... -0.21777344 -0.28710938
 -0.59765625]"
HumanEval/102,2.5073772310021814,0,143,"[ 0.30859375  0.5703125  -0.046875   ...  0.16308594 -0.22949219
 -0.4453125 ]","[ 0.07421875  0.3828125  -2.640625   ... -0.22558594 -0.27148438
 -0.52734375]"
HumanEval/103,0.9280190072482861,1,204,"[ 0.31640625  0.42578125 -1.2890625  ...  0.58984375  0.01062012
 -0.2734375 ]","[ 0.7265625   0.80859375 -0.93359375 ... -0.18261719 -0.23925781
 -0.50390625]"
HumanEval/104,1.292096694570754,0,170,"[ 0.0625      0.3046875  -1.546875   ...  0.23632812 -0.14453125
 -0.43554688]","[ 0.953125    0.484375   -2.546875   ... -0.23632812 -0.19921875
 -0.625     ]"
HumanEval/105,2.1977917659857553,0,351,"[-0.14453125 -1.6328125  -0.546875   ...  0.03088379  0.0559082
 -0.38867188]","[ 0.26757812  0.9296875  -2.453125   ... -0.21191406 -0.19824219
 -0.51953125]"
HumanEval/106,1.45449074256293,1,172,"[-1.1875      0.31054688 -1.1796875  ...  0.28515625 -0.24902344
 -0.32226562]","[ 0.24609375  1.0625     -1.2109375  ... -0.12988281 -0.35742188
 -0.4453125 ]"
HumanEval/107,0.8589163679289255,1,276,"[ 0.46484375  0.9765625  -0.9296875  ...  0.02709961 -0.11035156
 -0.37695312]","[ 0.71875     0.7265625  -1.25       ... -0.25195312 -0.22363281
 -0.52734375]"
HumanEval/108,1.4655215310915197,0,180,"[-0.390625    0.05078125 -1.15625    ...  0.24316406 -0.17675781
 -0.39453125]","[ 0.46289062  0.765625   -1.640625   ... -0.21484375 -0.22363281
 -0.51953125]"
HumanEval/109,2.85116006690684,0,373,"[ 0.8671875   1.1953125  -0.8046875  ...  0.22460938 -0.16796875
 -0.4609375 ]","[ 0.40625     1.28125    -1.34375    ... -0.25585938 -0.13964844
 -0.43945312]"
HumanEval/110,2.042425950291434,0,255,"[-0.26953125  0.55859375 -0.66015625 ...  0.23144531 -0.06298828
 -0.37304688]","[ 0.05859375  1.2421875  -1.6015625  ... -0.23632812 -0.23730469
 -0.53125   ]"
HumanEval/111,1.841899974065862,0,206,"[ 0.06640625  1.4296875  -1.046875   ...  0.5        -0.11181641
 -0.34179688]","[ 1.296875    0.7421875  -1.8828125  ... -0.12451172 -0.24414062
 -0.58984375]"
HumanEval/112,1.1486826341608185,1,215,"[ 0.36914062  1.1875     -1.2734375  ...  0.38476562  0.00933838
 -0.29296875]","[ 1.53125     0.734375   -2.21875    ... -0.21484375 -0.24707031
 -0.53125   ]"
HumanEval/113,1.9975295767437533,0,238,"[-0.40625     0.28710938 -1.0703125  ...  0.4921875   0.09130859
 -0.25195312]","[ 1.234375    0.984375   -1.8828125  ... -0.30664062 -0.07373047
 -0.5390625 ]"
HumanEval/114,1.9716653833183928,1,132,"[ 0.82421875  0.31054688 -0.44140625 ...  0.05053711 -0.40625
 -0.6328125 ]","[-0.83203125  1.234375   -0.90625    ... -0.296875   -0.20996094
 -0.35546875]"
HumanEval/115,1.9968932794164038,1,399,"[ 0.34375     1.0390625  -0.7109375  ...  0.296875   -0.09130859
 -0.4609375 ]","[ 0.05078125  1.0625     -0.625      ... -0.25585938 -0.14941406
 -0.546875  ]"
HumanEval/116,0.8295071117378663,1,223,"[ 0.23828125  0.734375   -1.046875   ...  0.53515625  0.07177734
 -0.30664062]","[ 0.76953125  0.90234375 -1.796875   ... -0.36328125 -0.1953125
 -0.39453125]"
HumanEval/117,1.5669320326301945,1,242,"[-0.1015625   0.62890625 -1.3515625  ...  0.54296875  0.0402832
 -0.21777344]","[ 1.265625   -0.42773438 -1.8984375  ... -0.13574219 -0.22070312
 -0.5703125 ]"
HumanEval/118,1.9224658557385668,0,223,"[-0.171875    0.03320312 -1.421875   ...  0.3359375  -0.05712891
 -0.375     ]","[ 0.42578125 -0.3515625  -3.21875    ... -0.3125     -0.21289062
 -0.60546875]"
HumanEval/119,1.9937702916578997,0,231,"[ 0.015625    1.125      -1.3671875  ...  0.47851562  0.05444336
 -0.31054688]","[ 0.53125     0.9453125  -2.078125   ... -0.24121094 -0.30664062
 -0.48828125]"
HumanEval/120,1.3113916155266085,0,275,"[ 0.046875    0.90625    -1.015625   ...  0.09277344 -0.23144531
 -0.40429688]","[ 0.33984375 -0.31445312 -1.171875   ... -0.29492188 -0.25585938
 -0.48632812]"
