probe,model,feature_method,threshold,precision,recall,f1,accuracy,trigger_rate_pct,true_positives,false_positives,true_negatives,false_negatives
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.3,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.84,56.00000000000001,11,3,10,1
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.4,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.88,52.0,11,2,11,1
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.92,48.0,11,1,12,1
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.6,1.0,0.75,0.8571428571428571,0.88,36.0,9,0,13,3
deepseek-ai_deepseek-coder-1.3b-instruct_SLT_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.7,1.0,0.5833333333333334,0.7368421052631579,0.8,28.000000000000004,7,0,13,5
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.3,0.8181818181818182,0.75,0.7826086956521738,0.8,44.0,9,2,11,3
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.4,0.8181818181818182,0.75,0.7826086956521738,0.8,44.0,9,2,11,3
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.5,0.8,0.6666666666666666,0.7272727272727272,0.76,40.0,8,2,11,4
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.6,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.72,36.0,7,2,11,5
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_mlp,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.7,0.75,0.5,0.6,0.68,32.0,6,2,11,6
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.3,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.84,56.00000000000001,11,3,10,1
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.4,0.7692307692307693,0.8333333333333334,0.8,0.8,52.0,10,3,10,2
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.5,0.7692307692307693,0.8333333333333334,0.8,0.8,52.0,10,3,10,2
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.6,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.72,44.0,8,3,10,4
Qwen_Qwen2.5-Coder-3B-Instruct_TBG_mlp,Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.7,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.72,44.0,8,3,10,4
