probe,model,feature_method,threshold,precision,recall,f1,accuracy,trigger_rate
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,1.2502095341682433,0.6097560975609756,0.78125,0.684931506849315,0.640625,0.640625
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,1.4062433242797852,0.5625,0.5625,0.5625,0.5625,0.5
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,1.5136563003063201,0.6521739130434783,0.46875,0.5454545454545454,0.609375,0.359375
deepseek-ai_deepseek-coder-1.3b-instruct_TBG_linreg,deepseek-ai/deepseek-coder-1.3b-instruct,TBG,1.7569310188293459,0.6923076923076923,0.28125,0.4,0.578125,0.203125
meta-llama_Llama-3.2-3B-Instruct_SLT_linreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.01701105274260044,0.45098039215686275,0.71875,0.5542168674698795,0.421875,0.796875
meta-llama_Llama-3.2-3B-Instruct_SLT_linreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.027566489204764354,0.4878048780487805,0.625,0.547945205479452,0.484375,0.640625
meta-llama_Llama-3.2-3B-Instruct_SLT_linreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.03996017202734947,0.46875,0.46875,0.46875,0.46875,0.5
meta-llama_Llama-3.2-3B-Instruct_SLT_linreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.06946424767374994,0.5217391304347826,0.375,0.43636363636363634,0.515625,0.359375
meta-llama_Llama-3.2-3B-Instruct_SLT_linreg,meta-llama/Llama-3.2-3B-Instruct,SLT,0.1003036990761757,0.6923076923076923,0.28125,0.4,0.578125,0.203125
meta-llama_Llama-3.2-3B-Instruct_TBG_linreg,meta-llama/Llama-3.2-3B-Instruct,TBG,-0.024823145568370817,0.5098039215686274,0.8125,0.6265060240963856,0.515625,0.796875
meta-llama_Llama-3.2-3B-Instruct_TBG_linreg,meta-llama/Llama-3.2-3B-Instruct,TBG,-0.011833907663822175,0.5121951219512195,0.65625,0.5753424657534246,0.515625,0.640625
meta-llama_Llama-3.2-3B-Instruct_TBG_linreg,meta-llama/Llama-3.2-3B-Instruct,TBG,-0.005072605796158314,0.46875,0.46875,0.46875,0.46875,0.5
meta-llama_Llama-3.2-3B-Instruct_TBG_linreg,meta-llama/Llama-3.2-3B-Instruct,TBG,0.002912293327972294,0.43478260869565216,0.3125,0.36363636363636365,0.453125,0.359375
meta-llama_Llama-3.2-3B-Instruct_TBG_linreg,meta-llama/Llama-3.2-3B-Instruct,TBG,0.030087144672870637,0.46153846153846156,0.1875,0.26666666666666666,0.484375,0.203125
