model_id,task_id,semantic_entropy,num_clusters,pass_at_1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/51,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/53,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/55,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/57,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/58,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/60,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/61,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/64,1.7884421724927162,7,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/65,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/66,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/67,1.5578024571394509,5,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/68,1.1195543104511287,4,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/70,0.8242678173013717,4,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/78,1.4376931053090536,5,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/79,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/81,0.8283045630088911,4,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/83,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/84,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/87,1.7481489830663157,7,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/88,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/89,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/91,1.2613213510287853,5,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/92,1.2530700440197986,4,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/93,0.8156538231588913,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/94,0.918302614364113,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/95,1.6690039961027254,6,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/96,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/101,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/104,1.4398460088010587,5,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/105,1.2610236561128514,4,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/106,1.2796990935685995,4,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/109,0.8724702126989925,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/110,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/111,1.0984771675149554,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/113,1.3452301039671433,5,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/117,0.8846504699197367,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/118,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/120,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/123,1.0168725745532492,3,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/124,0.9212579420608847,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/125,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/126,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/129,1.6233965069088352,6,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/131,-0.0,1,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/133,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/137,1.0939538861265239,5,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/139,0.8184428612658244,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/140,1.273476095518086,4,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/141,1.0758413512563738,4,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/144,0.8382577039841838,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/146,0.8268805025815555,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/147,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/148,1.218772363142376,5,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/152,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/155,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/157,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/158,0.8083119738191382,3,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/160,1.319128841440726,6,0
meta-llama/Llama-3.2-3B-Instruct,HumanEval/162,-0.0,1,1
meta-llama/Llama-3.2-3B-Instruct,HumanEval/163,-0.0,1,0
